content,sentiment,score
"绝大多数短评都苛刻得有些残忍了，一个童年窘迫的女人，终于在中年有了足够的资源和勇气可以剖开自己的内心，讲述自己的创伤，岂是一句轻飘飘的“又是女性议题”可以概括的？

我并不觉得开头零碎，回忆过去永远不可能理出一条情绪的线，而是一种声音、一个物件，从一个个零散的镜头，梦魇般的记忆中，还原出当时的情绪。仅仅只是开头，小丽的眼神，让我意识到这不仅是舒淇的故事，这也是我的故事。作为女性，只需要一个细节，无需任何多余的背景铺陈，就能读懂全部故事，因为这些故事在我们身上不断不断上演过，是一种集体情感记忆。

过去潮湿的无助的青春，南方漫长的雨季从两代女人的头发中滑过，为什么母爱永远伴随着羞辱的巴掌？有人说电影只有苦难，没有对苦难的抗争，现在舒淇能够站在电影节，向全世界放映这部电影，即是画外最好的答案。",positive,0.998572826385498
看得我泪眼朦胧，我旁边的男孩却一脸冷漠（感觉他中途都睡着了…）母亲的责骂、父亲的无视、妹妹的被偏心……舒淇不只是在讲一个故事，是在复现一种女孩们共有的记忆。期待舒导下一部作品。,positive,0.9999668598175049
看了些评论，有一些说无聊平淡的，其实看得过程中我就想到了这个局面，他们可能在等一个精彩的剧情转折或者冲突，而我们早已在那些沉默的留白、恐惧的眼神里，看完了整个故事,positive,0.9999328851699829
影片结尾女主一直哭到credit出来 转过头看到舒淇本人也泪流满面 这些年你也过得很辛苦吧 谢谢你女孩林立慧,positive,0.999476969242096
你问什么是结构性矛盾，我会说这就是结构性矛盾，甚至找不到苦难的源头，命运的链条里每一个分支都是悲剧。电视机要用到修不好才舍得换，生活也是。,negative,0.9998784065246582
1995年，柯俊雄逼迫舒淇拍摄了情色片《灵与欲》，亲自出演男主并安排了大量激情戏。该片成为舒淇出道作品，片中另一个女演员的名字即是“李莉莉”。,negative,0.7613943219184875
舒淇的真诚让人落泪，《女孩》是献给女孩的，更准确地说，是献给所有东亚女孩的。舒淇像是个大姐姐一样，用极温柔细腻的笔触，轻轻告诉你那些成长中的迷惘、痛苦、挣扎，她都懂，一切都会好的，一切都会好的。,positive,0.9998509883880615
比想象得还要鲜活有生命力，家暴的阴影遮盖不住女孩们无言的目光交汇，为彼此添上一勺饭，阳光照耀下盛开的鲜花和想象中的飞鸟气球。记忆碎片如同生活大爆炸一般纷至沓来，开头的快闪甚至拍出几分悬疑感。“林小丽”或许是舒淇的缩影，但不是她的自传，她的用意不在事无巨细地讲述女性经受怎样的苦难，而是用影像搭建了一条小径，给观众提供缓缓走近，观察这些女性生长状态的窗口，留白给自行去想象她们的命运将会走向何方的空间。从《千禧曼波》在奔跑中放缓脚步的自己，到《女孩》镜头下跌撞闯入的花季女孩，舒淇真的长大了。,positive,0.9999418258666992
2025 82nd Venezia 看完后劲挺大的，出来一看这部电影是取材部分舒淇自己的真实经历就很难过。很难想象她一个人逃离这样的家庭，最终逆袭成如今闪耀国际的影后，这个过程得是多么艰难！很想抱抱她，也想抱抱同样经历过家庭伤害的所有人,positive,0.9999819993972778
"真切的拍自己的故事、誠實的表達。 
誠實的感受是，前30分鐘我會困惑；但當電影到最後40分鐘；才會明白這部電影在我心中絕對值四顆星；另一顆星給白小櫻！

我理解部分觀眾會說電影百年要探索新的敍事，華語電影如何如何⋯⋯⋯

但是，能不遮掩自己的青澀；勇敢的先探索自己想說的故事，不就是新導演最美麗的品格嗎？

我喜歡這部電影
這是一部很美的電影",positive,0.9999663829803467
爹死了，天晴了。,positive,0.9999278783798218
有时候你会痛恨生命，不论经历了怎样晦暗恐怖的夜晚，白皙粉嫩的青春都从中长出来。它会一直蒙昧吗？它会招来祸患吗？面前歧路千万条。她承袭那命运，她能打破那命运吗？舒淇给了女孩一个她自己没有过的光明结局：父亲死去，母亲给她出走的路，她长大做了运动员。以我现在年龄，连那两个女孩的母亲，在我眼中也不过是女孩。,positive,0.9999796152114868
